	CL2001032010AA	Call	p-value	CL2001032041AA	Call	p-value
31844_at	101.13	A	0.77	20.43	A	0.93
31845_at	304.79	A	0.06	389.94	P	0.02
31846_at	2695.46	A	0.2	1939.9	A	0.14
31847_at	152.21	A	0.15	36.46	A	0.5
31848_at	33.85	A	0.9	24.47	A	0.96
31849_at	86.91	A	0.77	298.74	P	0.02
31850_at	359.84	P	0	226.31	P	0.02
31851_at	229.4	P	0	202.22	P	0.01
31852_at	351.72	P	0.01	190.97	P	0.04
31853_at	186.51	P	0	163.47	M	0.05
31854_at	19.87	A	0.52	180.97	P	0.02
31855_at	905.13	P	0	834.75	P	0
31856_at	2057.45	P	0	2798.18	P	0
31857_r_at	59.76	A	0.7	19.83	A	0.78
31858_at	274.52	P	0.02	111.6	A	0.19
31859_at	255.89	A	0.14	58.28	A	0.52
31860_at	449.75	P	0.01	317.92	P	0.01
31861_at	1471.78	P	0.02	1928.57	P	0.03
31862_at	84.35	A	0.09	133.28	A	0.07
31863_at	88.59	A	0.25	277.26	P	0.02
31864_at	467.34	P	0.02	602.13	P	0.03
31865_at	83.72	A	0.77	23.17	A	0.7
31866_at	188.63	M	0.05	237.27	P	0.01
31867_at	155.97	P	0.02	254	P	0
31868_at	104.97	A	0.62	34.7	A	0.73
31869_at	297.6	P	0.02	105.87	P	0.02
31870_at	2937.43	P	0	3179.62	P	0
31871_r_at	3.25	A	0.77	7.16	A	0.5
31872_at	199.38	P	0	171.94	A	0.11
31873_at	706.22	P	0	482.51	A	0.06
31874_at	933.96	P	0	583.83	P	0.01
31875_at	22.67	A	0.86	98.37	A	0.32
31876_r_at	66.69	A	0.25	55.73	A	0.1
31877_at	84.93	A	0.15	99.35	A	0.22
31878_at	89.88	A	0.3	80.47	A	0.46
31879_at	246.28	P	0	167.12	P	0.01
31880_at	59.75	A	0.42	78.82	A	0.07
31881_at	165.12	P	0	130.78	P	0.02
31882_at	1644.83	A	0.22	2048.55	A	0.08
31883_at	193.85	P	0.02	177.86	P	0.02
31884_at	243.76	A	0.08	221.08	A	0.08
31885_at	158.45	A	0.54	183.34	A	0.46
31886_at	67.73	A	0.6	20.62	A	0.81
31887_at	57.41	A	0.44	155.49	A	0.11
31888_s_at	639.02	P	0	452.03	P	0.02
31889_at	200.36	A	0.1	446.8	A	0.07
31890_s_at	99.77	A	0.1	9.38	A	0.77
31891_at	696.66	P	0	815.33	P	0
31892_at	835.84	P	0.01	642.35	P	0.02
31893_at	1355.85	P	0.02	1340.29	P	0
31894_at	68.54	A	0.16	126.75	A	0.07
31895_at	556.2	P	0	513.96	P	0
31896_at	332.73	P	0.02	484.63	P	0.01
31897_at	811.95	P	0.01	1276.15	P	0.01
31898_at	781.14	P	0	977.88	P	0
31899_at	232.59	P	0	155.32	P	0.02
319_g_at	2649.74	P	0	3572.36	P	0
31900_at	239.54	A	0.64	216.1	A	0.58
31901_at	1169.56	A	0.07	2123.6	P	0.02
31902_at	115.95	A	0.15	78.48	A	0.28
31903_at	158.45	A	0.11	144.42	M	0.05
31904_at	675.91	A	0.16	1409.83	P	0.04
31905_at	107.07	A	0.8	71.83	A	0.88
31906_at	894.99	P	0	672.53	P	0
31907_at	4272.5	P	0	4731.79	P	0
31908_at	164.53	A	0.46	139.42	A	0.5
31909_at	395.51	P	0.01	704.59	P	0.01
31910_at	24.37	A	0.77	8.87	A	0.86
31911_at	360.99	A	0.09	178.45	A	0.23
31912_at	37.66	A	0.93	37.68	A	0.86
31913_at	30.69	A	0.94	28.14	A	0.92
31914_at	17.06	A	0.93	20.08	A	0.73
31915_at	128.38	A	0.54	144.06	A	0.54
31916_at	34.56	A	0.7	89.18	A	0.52
31917_at	191.17	A	0.3	184.19	A	0.1
31918_at	21.58	A	0.6	68.44	A	0.27
31919_at	82.35	A	0.18	89.21	A	0.28
31920_at	123.49	A	0.58	55.32	A	0.78
31921_at	387.73	A	0.18	535.39	A	0.23
31922_i_at	33.62	A	0.59	39.4	A	0.75
31923_f_at	148.44	P	0.02	215.07	P	0.01
31924_at	29.96	A	0.81	100.35	A	0.16
31925_s_at	257.24	A	0.22	145.02	A	0.36
31926_at	21.24	A	0.88	3.93	A	0.81
31927_s_at	138.96	A	0.32	30.78	A	0.81
31928_at	22.87	A	0.73	16	A	0.84
31929_at	28.63	A	0.85	23.41	A	0.86
31930_f_at	538.79	A	0.15	608.91	A	0.15
31931_f_at	414.78	A	0.14	278.66	A	0.12
31932_f_at	819.1	P	0	792.11	P	0
31933_r_at	57.35	A	0.99	35.75	A	0.99
31934_at	15.25	A	0.86	7.69	A	0.89
31935_s_at	957.76	P	0.04	1030.63	P	0.04
31936_s_at	441.9	P	0	656.94	P	0
31937_at	18	A	0.93	57.21	A	0.8
31938_g_at	15.93	A	0.5	78.99	A	0.36
31939_at	4.44	A	0.98	4.82	A	1
31940_s_at	114.37	A	0.75	79.26	A	0.72
31941_s_at	4.64	A	0.86	122.22	A	0.16
31942_at	352.22	A	0.2	209.45	A	0.22
31943_g_at	102.3	A	0.2	149.56	A	0.3
31944_at	387.04	P	0.04	423.81	A	0.07
31945_s_at	14.77	A	0.56	33.43	A	0.62
31946_s_at	27.35	A	0.99	46.75	A	0.9
31947_r_at	2748.44	A	0.3	6904.54	A	0.16
31948_at	123.29	A	0.14	154.49	A	0.07
31949_at	208.3	A	0.06	83.09	A	0.38
31950_at	5410.55	P	0	5785.48	P	0
31951_s_at	9063.29	P	0	7953	P	0
31952_at	7415.44	P	0	5428.54	P	0
31953_f_at	100.29	P	0.04	44.71	A	0.54
31954_f_at	51.28	A	0.66	12.7	A	0.73
31955_at	6067.91	P	0	4163.35	P	0
31956_f_at	19001.75	P	0	15185.43	P	0
31957_r_at	18426.87	P	0	16238.25	P	0
31958_i_at	35.11	A	0.79	46.28	A	0.68
31959_at	17.58	A	0.87	17.54	A	0.9
31960_f_at	12.25	A	0.93	50.57	A	0.6
31961_r_at	190	A	0.07	210.57	A	0.07
31962_at	35139.12	P	0	25424.59	P	0
31963_at	110.18	A	0.3	22.1	A	0.77
31964_at	33.18	A	0.96	10.39	A	0.99
31965_at	220.18	A	0.54	87.74	A	0.58
31966_at	95.06	A	0.5	5	A	1
31967_at	131.64	A	0.52	182.55	A	0.15
31968_at	30.01	A	0.72	108.68	A	0.36
31969_i_at	19.8	A	0.85	9.69	A	0.92
31970_r_at	12.94	A	0.78	56.08	A	0.4
31971_at	264.69	A	0.44	43.08	A	0.81
31972_at	56.58	A	0.81	9.45	A	0.89
31973_at	29.51	A	0.9	37.71	A	0.84
31974_at	126.73	A	0.84	94.62	A	0.78
31975_at	994.87	P	0.04	648.63	P	0.01
31976_at	67.75	A	0.52	17.13	A	0.78
31977_at	158.61	A	0.68	113.87	A	0.38
31978_at	42.32	A	0.75	58.57	A	0.68
31979_at	153.5	A	0.58	142.72	A	0.36
31980_at	55	A	0.99	45.62	A	0.99
31981_at	66.18	A	0.98	51.52	A	0.95
31982_at	224.12	P	0.01	99.02	A	0.19
31983_at	27.4	A	0.87	21.21	A	0.93
31984_at	15.01	A	0.94	45.95	A	0.72
31985_at	21.93	A	0.64	68.6	A	0.11
31986_at	78.99	A	0.54	13.09	A	0.86
31987_at	58.43	A	0.91	62.15	A	0.78
31988_at	17.26	A	0.8	11.81	A	0.87
31989_s_at	19.6	A	0.84	74.66	A	0.52
31990_at	85.65	A	0.64	51.26	A	0.64
31991_at	674.73	P	0.02	991.46	P	0.03
31992_f_at	27.82	A	0.89	28.65	A	0.93
31993_f_at	780.59	A	0.11	962.75	P	0.04
31994_at	11.2	A	1	6.92	A	1
31995_g_at	60.11	A	0.95	72.82	A	0.85
31996_at	72.38	A	0.54	38.8	A	0.64
31997_at	95.89	A	0.56	211.81	A	0.14
31998_at	20.44	A	0.77	95.95	A	0.27
31999_at	221.75	A	0.2	220.17	A	0.27
320_at	274.11	M	0.05	318	A	0.1
32000_g_at	474.47	A	0.2	1006.9	A	0.13
32001_s_at	254.4	P	0.02	198.11	M	0.05
32002_at	115.48	A	0.8	99.41	A	0.89
32003_at	50.33	A	0.78	145.47	A	0.28
32004_s_at	1308.44	P	0.01	1463.35	P	0.01
32005_at	16.37	A	0.66	12.95	A	0.73
32006_r_at	165.98	A	0.4	29.94	A	0.7
32007_at	582.84	A	0.09	788.96	A	0.06
32008_at	32.54	A	0.64	54.33	A	0.5
32009_at	203.35	A	0.56	76.35	A	0.68
32010_at	731.27	A	0.16	889.23	A	0.07
32011_g_at	306.92	A	0.52	86.65	A	0.58
32012_at	56.4	A	0.58	17.83	A	0.87
32013_at	130.38	A	0.54	15.14	A	0.77
32014_at	8.69	A	0.96	11.13	A	0.8
32015_at	31.36	A	0.93	31.22	A	0.77
32016_at	214.53	A	0.5	211.75	A	0.44
32017_at	87.94	A	0.22	15.24	A	0.3
32018_at	3.06	A	1	6.05	A	0.95
32019_at	117.71	A	0.28	46.53	A	0.19
32020_at	33.54	A	0.77	5.7	A	0.93
32021_at	814.57	P	0.02	483.55	A	0.12
32022_at	39.21	A	0.46	8.73	A	0.58
32023_at	15.44	A	0.89	12.49	A	0.99
32024_at	56.97	A	0.34	11.12	A	0.62
32025_at	410.96	A	0.32	417.94	A	0.32
32026_s_at	521.52	P	0	435.57	P	0
32027_at	16.73	A	0.6	3.38	A	0.99
32028_at	528.11	P	0.02	547.51	P	0.04
32029_at	1134.67	P	0.04	1567.31	P	0.02
32030_at	259.55	A	0.08	319.28	A	0.1
32031_at	1038.92	P	0.03	1015.86	P	0.04
32032_at	339.78	A	0.16	473.87	A	0.07
32033_at	524.14	A	0.28	639.59	A	0.07
32034_at	195.63	P	0.01	110.31	A	0.36
32035_at	4659.54	P	0	8582.74	P	0
32036_i_at	53.51	A	0.46	200.62	A	0.3
32037_r_at	110.88	A	0.25	27.99	A	0.58
32038_s_at	418.73	P	0	251.81	A	0.13
32039_at	516.73	P	0	359.73	P	0
32040_i_at	17.12	A	0.95	46.91	A	0.71
32041_r_at	19.26	A	0.77	7.21	A	0.64
32042_at	45.19	A	0.32	89.14	A	0.22
32043_at	34.73	A	0.72	38.27	A	0.5
32044_at	239.06	M	0.05	458.24	P	0.02
32045_at	365.24	A	0.13	304.06	P	0.04
32046_at	551.82	P	0	688.12	P	0
32047_at	621.35	A	0.07	799.57	M	0.05
32048_at	873.24	P	0.04	655.14	A	0.11
32049_f_at	58.6	A	0.25	97.3	A	0.23
32050_r_at	88.03	A	0.19	63.13	A	0.5
32051_at	299.34	P	0.01	370.03	P	0
32052_at	49556.68	P	0	12603.45	P	0
32053_at	60.35	A	0.27	94.64	A	0.15
32054_at	161.32	A	0.32	192.82	A	0.36
32055_g_at	121.78	A	0.4	5.1	A	0.99
32056_at	171.72	A	0.36	237.96	A	0.11
32057_at	59.47	A	0.34	90.31	A	0.58
32058_at	350.95	A	0.18	300.32	A	0.19
32059_at	204.87	A	0.23	80.22	A	0.42
32060_at	438.66	P	0.03	712.11	P	0.02
32061_at	235.39	A	0.11	154.11	A	0.11
32062_at	133.36	A	0.28	74.1	A	0.4
32063_at	175.03	A	0.54	398.88	A	0.32
32064_at	259.09	A	0.3	70.41	A	0.48
32065_at	379.39	P	0	464.01	P	0
32066_g_at	908.05	P	0	1895.13	P	0
32067_at	487.07	P	0	1055.34	P	0
32068_at	241.46	P	0.02	127.59	P	0.02
32069_at	295.66	P	0	415.8	P	0.01
32070_at	664.55	A	0.1	630.14	A	0.1
32071_at	383.63	A	0.13	215.84	A	0.36
32072_at	632.46	P	0.02	371.49	M	0.05
32073_at	221.07	A	0.22	244.75	A	0.36
32074_at	117.43	A	0.23	81.78	A	0.4
32075_at	204.73	A	0.14	276.17	A	0.15
32076_at	293.69	P	0	629.94	P	0
32077_s_at	25.59	A	0.98	27.05	A	0.96
32078_at	158.98	A	0.19	14.86	A	0.96
32079_at	291.35	P	0.01	398.47	P	0.01
32080_at	2633.39	P	0	3698.73	P	0
32081_at	17.94	A	0.72	90.93	A	0.12
32082_at	144.53	M	0.05	13.66	A	0.46
32083_at	234.25	P	0.02	82.99	A	0.22
32084_at	244.72	A	0.11	359.06	P	0.02
32085_at	376.53	P	0	472.73	P	0
32086_at	58.46	A	0.58	89.05	A	0.42
32087_at	161.32	A	0.08	68.31	A	0.32
32088_at	69.51	A	0.42	11.23	A	0.77
32089_at	206.45	P	0.01	60.72	A	0.38
32090_at	60.53	A	0.86	42.99	A	0.82
32091_at	395.39	P	0	241.07	P	0
32092_at	3534.86	P	0	3172.33	P	0
32093_at	10.18	A	0.99	14.38	A	0.99
32094_at	526.77	P	0.01	367.67	P	0.03
32095_at	433.87	A	0.36	425.17	A	0.28
32096_at	290.85	A	0.44	728.55	A	0.19
32097_at	167.54	A	0.3	77.33	A	0.36
32098_at	554.49	A	0.27	423.11	A	0.38
32099_at	393.48	M	0.05	673.79	P	0.01
321_at	30.07	A	0.88	36.05	A	0.81
32100_r_at	2325.45	A	0.25	2654.2	A	0.32
32101_at	658.05	A	0.6	437.51	A	0.5
32102_at	81.39	A	0.5	36.76	A	0.62
32103_at	608.38	A	0.5	970.19	A	0.2
32104_i_at	1453.9	M	0.05	1961.66	M	0.05
32105_f_at	66.56	A	0.8	115.38	A	0.62
32106_at	282.22	A	0.12	390.82	A	0.08
32107_at	240.66	A	0.36	346.94	A	0.12
32108_at	390.89	A	0.2	198.66	A	0.13
32109_at	1043.72	A	0.16	1107.83	P	0.03
32110_at	13.39	A	0.91	16.37	A	0.87
32111_at	459.08	P	0	377.77	P	0
32112_s_at	504.55	P	0	838.61	P	0
32113_at	363.34	A	0.2	153.2	A	0.19
32114_s_at	283.29	A	0.42	107.76	A	0.38
32115_r_at	191.28	A	0.78	445.71	A	0.46
32116_at	1139.6	P	0.01	1161.88	P	0.01
32117_at	911.93	P	0	639.33	P	0
32118_at	43.34	A	0.73	96.17	A	0.13
32119_at	392.4	P	0	1012.44	P	0
32120_at	107.7	A	0.27	65.09	A	0.34
32121_at	49.89	A	0.78	48.35	A	0.68
32122_at	483.26	A	0.23	480.68	A	0.19
32123_at	223.94	A	0.42	143.08	A	0.34
32124_at	426.79	P	0	733.97	P	0
32125_at	257.77	P	0.01	265.21	P	0
32126_at	112.76	A	0.11	79.5	A	0.38
32127_at	57.23	A	0.66	96.32	A	0.07
32128_at	9218.83	P	0	2718.91	P	0
32129_at	305.16	P	0.01	510.48	P	0.02
32130_at	198.54	A	0.08	349.62	P	0.04
32131_at	52.58	A	0.28	52.12	A	0.27
32132_at	147.05	P	0.02	186.76	P	0.02
32133_at	1055.88	M	0.05	1086.62	M	0.05
32134_at	514.15	P	0	414.11	P	0
32135_at	1786.37	P	0.03	1875.39	P	0.04
32136_r_at	13.46	A	0.93	36.37	A	0.36
32137_at	1086.01	P	0.01	1054.59	P	0
32138_at	397.72	A	0.22	490.75	A	0.07
32139_at	186.35	A	0.18	154.35	A	0.27
32140_at	2412.77	P	0	2550.63	P	0
32141_at	108.42	A	0.5	155.19	A	0.62
32142_at	125.78	P	0.01	157.31	M	0.04
32143_at	68.68	A	0.72	72.73	A	0.54
32144_at	323.53	P	0.03	233.2	A	0.14
32145_at	1935.05	P	0	2539.46	P	0
32146_s_at	664.18	P	0	719.61	P	0
32147_at	29.52	A	0.58	14.95	A	0.88
32148_at	729.53	M	0.05	1117.14	P	0.01
32149_at	184.98	M	0.05	4.93	A	0.98
32150_at	137.15	P	0.02	212.99	P	0
32151_at	723.4	P	0.02	989.9	P	0.04
32152_at	245.02	A	0.34	126.43	A	0.36
32153_s_at	16149.16	P	0	10238.44	P	0
32154_at	33.97	A	0.8	65.46	A	0.68
32155_at	36.61	A	0.75	26.77	A	0.58
32156_at	1020.7	P	0	1012.05	P	0
32157_at	2277.78	P	0.01	2180.86	P	0.01
32158_at	88.74	A	0.44	91.85	A	0.14
32159_at	212.34	P	0.01	206.68	P	0
32160_at	231.75	P	0.01	287.93	P	0.01
32161_at	158.17	P	0.02	68.28	A	0.18
32162_r_at	94.1	A	0.5	169.76	A	0.52
32163_f_at	246.38	A	0.11	238.91	A	0.12
32164_at	694.04	P	0.01	654.88	P	0.01
32165_at	345.16	P	0	973.58	P	0
32166_at	4192.55	P	0	3447.77	P	0
32167_at	92.91	A	0.46	21.5	A	0.66
32168_s_at	151.2	P	0.02	532.85	P	0
32169_at	383.72	P	0.04	503.8	P	0.01
32170_g_at	109.76	A	0.22	19.57	A	0.68
32171_at	434.05	P	0.01	684.89	P	0.01
32172_at	326.72	P	0.04	355.03	P	0
32173_at	383.54	P	0.02	414.11	A	0.07
32174_at	343.99	A	0.16	314.23	A	0.19
32175_at	729.71	P	0	798.41	P	0
32176_at	73.93	A	0.85	283.97	A	0.36
32177_s_at	827.2	A	0.1	856.24	P	0.04
32178_r_at	207.94	P	0.01	15.27	A	0.62
32179_s_at	96.21	A	0.19	61.76	A	0.38
32180_s_at	709.3	P	0.01	805.85	P	0.01
32181_at	1275.15	A	0.14	1145.17	A	0.1
32182_at	76.63	A	0.62	114.24	A	0.2
32183_at	586.94	P	0	752.77	P	0
32184_at	584.4	P	0	180.28	P	0
32185_at	248.5	P	0.01	278.21	P	0.01
32186_at	400.27	P	0.04	740.84	P	0
32187_at	44.45	A	0.62	94.05	A	0.46
32188_at	156.14	A	0.15	173.19	A	0.16
32189_g_at	459.77	A	0.07	386.59	A	0.19
32190_at	525.24	A	0.13	455.2	A	0.12
32191_at	116.44	A	0.64	66.3	A	0.6
32192_g_at	2076.12	P	0.01	2833.19	P	0
32193_at	378.15	P	0	466.8	P	0
32194_at	504.24	P	0	299.36	P	0.01
32195_at	445.95	P	0	468.78	P	0.02
32196_at	28.4	A	0.3	81.83	M	0.05
32197_at	511.49	P	0	415.75	P	0
32198_at	1165.4	A	0.13	1112.88	P	0.01
32199_at	47.21	A	0.58	35.57	A	0.54
322_at	179.14	A	0.22	173.55	A	0.13
32200_at	49.86	A	0.54	36.93	A	0.72
32201_at	1566.02	A	0.15	1517.14	A	0.08
32202_at	768.71	A	0.12	901.42	A	0.1
32203_at	667.5	P	0	584.5	P	0.01
32204_at	136.59	A	0.95	154.91	A	0.9
32205_at	278.03	P	0	279.55	P	0.01
32206_at	684.16	P	0.03	589.8	P	0.01
32207_at	746.34	P	0	519.06	P	0
32208_at	573.82	P	0	624.19	P	0
32209_at	1491.31	P	0	1661.8	P	0
32210_at	825.22	P	0	538.97	P	0
32211_at	557.1	A	0.22	466.27	A	0.12
32212_at	220.52	A	0.22	136.68	A	0.32
32213_at	50.71	A	0.36	163.29	A	0.18
32214_at	248.49	P	0.01	241.63	P	0
32215_i_at	229.92	P	0	266.38	P	0
32216_r_at	48.36	A	0.38	64.8	A	0.14
32217_at	247.85	P	0	263.84	M	0.05
32218_at	1095.66	P	0.01	1863.52	P	0
32219_at	346.05	P	0	619.86	P	0
32220_at	297.2	P	0.02	180.82	P	0.02
32221_at	428.29	P	0	415.68	P	0
32222_at	503.74	P	0.01	716.62	P	0.01
32223_at	2269.93	P	0	2855.41	P	0
32224_at	847.53	P	0	609.32	P	0.02
32225_at	445.86	P	0.03	242.93	P	0.02
32226_at	2072.38	P	0	1758.87	P	0
32227_at	2116.67	P	0	3087.69	P	0
32228_at	3017.04	A	0.09	3255.45	A	0.07
32229_at	840.8	P	0	599.37	P	0
32230_at	522.55	P	0	289.89	P	0.01
32231_at	36.35	A	0.58	26.67	A	0.56
32232_at	789.13	P	0	726.46	P	0
32233_at	127.64	P	0	150.14	P	0.02
32234_at	414.4	P	0.03	481.45	P	0.03
32235_at	2127.1	P	0	1605.11	P	0
32236_at	938.57	P	0	1043.27	P	0
32237_at	462.5	P	0.01	400.29	P	0
32238_at	628.72	A	0.1	418.18	A	0.3
32239_at	72.91	A	0.15	34.12	A	0.7
32240_at	1136.67	M	0.04	1359.43	P	0.01
32241_at	1246.7	P	0	1311.46	P	0
32242_at	357.07	P	0.03	319.11	P	0.02
32243_g_at	559.99	P	0	674.28	P	0
32244_at	436.74	A	0.12	367.21	A	0.11
32245_at	169.07	A	0.5	265.7	A	0.36
32246_g_at	480.81	A	0.11	291.48	A	0.18
32247_at	151.2	A	0.23	186.29	A	0.06
32248_at	291.14	A	0.23	215.68	A	0.16
32249_at	595.99	P	0	944.58	P	0
32250_at	636.9	P	0.03	1085.22	P	0.01
32251_at	923.07	P	0	1265.23	P	0
32252_at	101.95	A	0.22	52.87	A	0.44
32253_at	1189.59	P	0	1454.46	P	0
32254_at	2353.2	P	0	3428.82	P	0
32255_i_at	193.61	P	0.01	228.14	P	0
32256_r_at	66.35	A	0.2	45.38	A	0.32
32257_f_at	2.17	A	0.81	15.87	A	0.65
32258_r_at	49.89	A	0.28	28.03	A	0.44
32259_at	372.19	P	0	603.86	P	0
32260_at	2222.1	P	0	2567.36	P	0
32261_at	393.45	P	0.02	456.09	P	0.01
32262_at	101.15	A	0.32	205.72	A	0.08
32263_at	74.3	A	0.58	85.88	A	0.58
32264_at	83.58	A	0.7	66.89	A	0.75
32265_at	222.9	A	0.25	460.51	P	0.01
32266_at	13.16	A	0.91	6.37	A	0.96
32267_at	143.89	A	0.38	28.64	A	0.77
32268_at	22.87	A	0.85	8.17	A	0.75
32269_at	369.26	A	0.16	645	P	0.02
32270_g_at	135.84	A	0.28	24.92	A	0.72
32271_at	562.56	A	0.07	602.14	P	0.03
32272_at	6540.74	P	0	8329.15	P	0
32273_at	21.85	A	0.75	5.92	A	0.97
32274_r_at	802.8	A	0.14	1155.56	A	0.09
32275_at	6156.91	P	0	5559.17	P	0
32276_at	17823.54	P	0	14455.42	P	0
32277_at	14.01	A	0.93	15.6	A	0.7
32278_at	12.82	A	0.81	55.37	A	0.48
32279_at	155.24	A	0.25	145.52	A	0.14
32280_at	13.5	A	0.96	40.17	A	0.7
32281_at	434.91	A	0.2	192.65	A	0.32
32282_at	547.55	M	0.04	639.07	P	0.01
32283_at	23.61	A	0.99	13.56	A	1
32284_at	206.79	A	0.2	205.53	A	0.15
32285_g_at	9.85	A	0.94	13.7	A	0.85
32286_at	335.62	A	0.48	86.79	A	0.46
32287_s_at	320.69	P	0	328.85	A	0.09
32288_r_at	172.2	P	0.04	155.36	P	0.01
32289_at	65	A	0.72	39.08	A	0.88
32290_at	82.87	A	0.46	198.54	A	0.15
32291_at	12.51	A	1	12.29	A	0.97
32292_at	151.5	P	0.03	92.05	A	0.27
32293_at	67.35	A	0.6	50.09	A	0.6
32294_g_at	94.5	A	0.58	15.32	A	0.91
32295_at	93.14	A	0.98	75.46	A	0.93
32296_at	25	A	0.98	25.61	A	0.92
32297_s_at	280.33	P	0.01	224.81	A	0.06
32298_at	62.36	A	0.75	3.58	A	0.98
32299_at	144.77	A	0.09	17.23	A	0.52
323_at	300.02	A	0.62	340.78	A	0.52
32300_s_at	145.44	A	0.34	132.33	A	0.42
32301_at	114.08	A	0.3	13.26	A	0.9
32302_g_at	126.84	A	0.58	176.41	A	0.3
32303_at	125.1	A	0.56	98.01	A	0.54
32304_at	29.7	A	0.78	40.02	A	0.73
32305_at	1095.92	P	0	712.05	P	0
32306_g_at	4252.83	P	0	1925.45	P	0
32307_s_at	4432.49	P	0	3363.32	P	0
32308_r_at	76.48	A	0.25	33.97	A	0.34
32309_at	39.99	A	0.46	10.33	A	0.93
32310_f_at	256.57	A	0.3	228.39	A	0.28
32311_r_at	19.91	A	0.97	25.89	A	0.98
32312_at	129.21	A	0.75	13.2	A	0.86
32313_at	2706.03	P	0	2305.84	P	0
32314_g_at	1803.78	P	0	1601.91	P	0
32315_at	10820.2	P	0	11465.04	P	0
32316_s_at	5249.1	P	0	3934.79	P	0
32317_s_at	1571.97	P	0	1171.55	P	0
32318_s_at	31495.14	P	0	23953.91	P	0
32319_at	121.22	A	0.46	206.53	A	0.3
32320_at	83.47	A	0.56	87.54	A	0.54
32321_at	6449.9	P	0	5208.67	P	0
32322_at	38.58	A	0.64	34.07	A	0.66
32323_at	64.32	A	0.86	125.51	A	0.68
32324_at	4028.92	P	0	4272.4	P	0
32325_at	46.5	A	0.66	169.05	A	0.38
32326_at	145.27	A	0.18	64.04	A	0.4
32327_at	30.44	A	0.78	26.67	A	0.77
32328_at	83.78	A	0.23	35.56	A	0.27
32329_at	302.69	A	0.07	406.32	P	0.03
32330_at	13664.09	P	0	10578.07	P	0
32331_at	100.39	A	0.52	119.74	A	0.66
32332_at	893.64	P	0	515.38	P	0.01
32333_at	42.34	A	0.93	28.31	A	0.96
32334_f_at	24221.65	P	0	14921.32	P	0
32335_r_at	5422.2	P	0	6406.46	P	0
32336_at	5211.72	P	0	4772.13	P	0
32337_at	9989.09	P	0	10044.33	P	0
32338_at	47.5	A	0.14	39.96	A	0.62
32339_at	203.07	A	0.62	50.78	A	0.68
32340_s_at	4375.24	P	0	3213.71	P	0
32341_f_at	10924.66	P	0	9670.3	P	0
32342_at	27.62	A	0.8	36.59	A	0.73
32343_at	92.06	A	0.36	65.03	A	0.42
32344_r_at	81.13	A	0.34	22.85	A	0.5
32345_at	143.95	A	0.06	47.01	A	0.6
32346_at	111.44	P	0.02	112.9	A	0.07
32347_at	27.06	A	0.81	42.21	A	0.82
32348_at	6.06	A	0.87	41.44	A	0.56
32349_at	142.71	A	0.14	125.6	A	0.22
32350_at	25.17	A	0.46	14.06	A	0.85
32351_at	167.91	A	0.54	230.23	A	0.34
32352_at	887.27	M	0.05	851.53	M	0.04
32353_at	179.22	A	0.15	75.55	A	0.52
32354_at	30.21	A	0.73	61.5	A	0.62
32355_at	129.56	A	0.16	104.16	A	0.25
32356_at	99	A	0.44	57.31	A	0.52
32357_at	39.97	A	0.85	30.46	A	0.95
32358_at	13.76	A	0.93	44.75	A	0.28
32359_at	142.47	A	0.38	124.32	A	0.3
32360_s_at	175.11	A	0.56	72.2	A	0.62
32361_s_at	26.77	A	1	18.73	A	0.99
32362_r_at	189.1	A	0.48	193.28	A	0.15
32363_at	274.12	P	0	658.5	P	0
32364_at	116.06	A	0.42	214.4	A	0.1
32365_at	22.42	A	0.81	8.33	A	0.95
32366_at	150.23	A	0.56	47.13	A	0.68
32367_at	24.86	A	0.54	51.67	A	0.48
32368_at	8.03	A	0.95	3.25	A	1
32369_at	9.64	A	0.98	4.22	A	0.99
32370_at	402.98	P	0.02	231.74	P	0
32371_at	4.67	A	0.99	6.74	A	0.98
32372_at	251.15	A	0.2	277.26	A	0.08
32373_at	7.34	A	0.99	9.13	A	0.96
32374_at	211.4	A	0.23	231.15	A	0.28
32375_at	36.75	A	0.99	29.39	A	0.99
32376_at	154.02	A	0.38	25.08	A	0.66
32377_at	111.62	A	0.16	4.36	A	0.99
32378_at	6656.72	P	0	7652.75	P	0
32379_f_at	36.52	A	0.62	9.33	A	0.73
32380_at	427.69	A	0.16	42.7	A	0.54
32381_at	12.8	A	0.58	78.97	P	0.04
32382_at	125.18	A	0.4	34.74	A	0.6
32383_at	30.73	A	0.7	7.74	A	0.66
32384_g_at	49.62	A	0.88	23.68	A	0.88
32385_at	92.97	A	0.28	158.73	A	0.15
32386_at	97.5	A	0.38	9.69	A	0.81
32387_at	129.74	A	0.48	54.9	A	0.75
32388_at	34.63	A	0.77	36.01	A	0.54
32389_at	301.5	A	0.15	151.62	A	0.52
32390_at	134.85	A	0.62	53.62	A	0.62
32391_g_at	135.68	A	0.25	166.91	A	0.15
32392_s_at	5.92	A	0.98	10.34	A	0.78
32393_s_at	217.32	P	0.02	224.33	P	0.01
32394_s_at	4343.72	P	0	3364.41	P	0
32395_r_at	9352.2	P	0	6703.2	P	0
32396_f_at	246.03	A	0.22	170.75	M	0.05
32397_r_at	380.18	A	0.16	257.92	A	0.18
32398_s_at	11.3	A	0.86	12.6	A	0.73
32399_at	12.78	A	0.95	13.24	A	0.98
324_f_at	1378.57	P	0	1099.54	P	0
32400_at	347.98	A	0.2	231.85	A	0.16
